No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
308,Hotel Transylvania 3: Summer Vacation (2018),2018,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Sony Pictures Entertainment (SPE),"$167,510,016.00","$361,073,758.00","$528,583,774.00",PG
309,Casino Royale (2006),2006,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Sony Pictures Entertainment (SPE),"$167,445,960.00","$449,056,952.00","$616,502,912.00",PG-13
310,Meet the Parents (2000),2000,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Universal Pictures,"$166,244,045.00","$164,200,000.00","$330,444,045.00",PG-13
311,Fifty Shades of Grey (2015),2015,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Universal Pictures,"$166,167,230.00","$403,484,237.00","$569,651,467.00",R
312,2012 (2009),2009,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,Sony Pictures Entertainment (SPE),"$166,112,167.00","$625,105,659.00","$791,217,826.00",PG-13
313,Robin Hood: Prince of Thieves (1991),1991,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,Warner Bros.,"$165,493,908.00","$225,000,000.00","$390,493,908.00",PG
314,Knives Out (2019),2019,"A detective investigates the death of a patriarch of an eccentric, combative family.",Lionsgate,"$165,363,234.00","$146,242,347.00","$311,605,581.00",PG-13
315,Kung Fu Panda 2 (2011),2011,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",DreamWorks,"$165,249,063.00","$500,443,218.00","$665,692,281.00",PG
316,Hannibal (2001),2001,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",Metro-Goldwyn-Mayer (MGM),"$165,092,268.00","$186,600,000.00","$351,692,268.00",R
317,Eternals (2021),2021,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Walt Disney Studios Motion Pictures,"$164,819,595.00","$237,027,887.00","$401,847,482.00",PG-13
318,Catch Me If You Can (2002),2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",DreamWorks Distribution,"$164,615,351.00","$187,498,961.00","$352,114,312.00",PG-13
319,The Proposal (2009),2009,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,Walt Disney Studios Motion Pictures,"$163,958,031.00","$153,417,000.00","$317,375,031.00",PG-13
320,The Pursuit of Happyness (2006),2006,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Sony Pictures Entertainment (SPE),"$163,566,459.00","$143,561,166.00","$307,127,625.00",PG-13
321,Big Daddy (1999),1999,"A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",Sony Pictures Entertainment (SPE),"$163,479,795.00","$71,322,100.00","$234,801,895.00",PG-13
322,Clash of the Titans (2010),2010,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",Warner Bros.,"$163,214,888.00","$330,000,105.00","$493,214,993.00",PG-13
323,The SpongeBob Movie: Sponge Out of Water (2015),2015,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.",Paramount Pictures,"$162,994,032.00","$162,192,000.00","$325,186,032.00",PG
324,Batman Returns (1992),1992,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Warner Bros.,"$162,902,340.00","$103,990,656.00","$266,892,996.00",PG-13
325,Django Unchained (2012),2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",The Weinstein Company,"$162,805,434.00","$263,268,939.00","$426,074,373.00",R
326,A Bug's Life (1998),1998,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",Walt Disney Studios Motion Pictures,"$162,798,565.00","$200,460,294.00","$363,258,859.00",PG
327,Jason Bourne (2016),2016,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Universal Pictures,"$162,434,410.00","$253,050,504.00","$415,484,914.00",PG-13
328,Grown Ups (2010),2010,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Sony Pictures Entertainment (SPE),"$162,001,186.00","$109,456,115.00","$271,457,301.00",PG-13
329,The Waterboy (1998),1998,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,Walt Disney Studios Motion Pictures,"$161,491,646.00","$24,500,000.00","$185,991,646.00",PG-13
330,Ice Age: Continental Drift (2012),2012,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",Twentieth Century Fox,"$161,321,843.00","$715,922,939.00","$877,244,782.00",PG
